study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	sd	ci	se	cv	unit	comments
Chen2018	GLIM	242.0	GLIM	hba1c (change)	NA	plasma	NR	hba1c_change_GLIM	0.0	week	0.0	NA	NA	NA	NA	NA	NA	NA	percent	NA
Chen2018	GLIM	242.0	GLIM	hba1c (change)	NA	plasma	NR	hba1c_change_GLIM	4.0	week	-0.357615894039735	NA	NA	NA	0.2848880363151792	0.07178812258554	NA	NA	percent	NA
Chen2018	GLIM	242.0	GLIM	hba1c (change)	NA	plasma	NR	hba1c_change_GLIM	8.0	week	-0.66887417218543	NA	NA	NA	0.404146109636464	0.101839623861754	NA	NA	percent	NA
Chen2018	GLIM	242.0	GLIM	hba1c (change)	NA	plasma	NR	hba1c_change_GLIM	16.0	week	-0.905077262693156	NA	NA	NA	0.5363693882560403	0.135158190190397	NA	NA	percent	NA
Chen2018	GLIM	242.0	GLIM	hba1c (change)	NA	plasma	NR	hba1c_change_GLIM	26.0	week	-0.900662251655629	NA	NA	NA	0.5550581478101431	0.139867517332367	NA	NA	percent	NA
Chen2018	DUL075	239.0	DUL075	hba1c (change)	NA	plasma	NR	hba1c_change_DUL075	0.0	week	0.0	NA	NA	NA	NA	NA	NA	NA	percent	NA
Chen2018	DUL075	239.0	DUL075	hba1c (change)	NA	plasma	NR	hba1c_change_DUL075	4.0	week	-0.675496688741722	NA	NA	NA	0.2669788453706337	0.0676961494931491	NA	NA	percent	NA
Chen2018	DUL075	239.0	DUL075	hba1c (change)	NA	plasma	NR	hba1c_change_DUL075	8.0	week	-1.05739514348785	NA	NA	NA	0.3910778507847273	0.0991631550935399	NA	NA	percent	NA
Chen2018	DUL075	239.0	DUL075	hba1c (change)	NA	plasma	NR	hba1c_change_DUL075	16.0	week	-1.23841059602649	NA	NA	NA	0.49010434712931195	0.12427268199639	NA	NA	percent	NA
Chen2018	DUL075	239.0	DUL075	hba1c (change)	NA	plasma	NR	hba1c_change_DUL075	26.0	week	-1.21633554083885	NA	NA	NA	0.5326524021136472	0.13506132514474	NA	NA	percent	NA
Chen2018	DUL15	239.0	DUL15	hba1c (change)	NA	plasma	NR	hba1c_change_DUL15	0.0	week	0.0	NA	NA	NA	NA	NA	NA	NA	percent	NA
Chen2018	DUL15	239.0	DUL15	hba1c (change)	NA	plasma	NR	hba1c_change_DUL15	4.0	week	-0.79690949227373	NA	NA	NA	0.27225764055931756	0.069034660444235	NA	NA	percent	NA
Chen2018	DUL15	239.0	DUL15	hba1c (change)	NA	plasma	NR	hba1c_change_DUL15	8.0	week	-1.28476821192053	NA	NA	NA	0.3925579076198248	0.0995384438121199	NA	NA	percent	NA
Chen2018	DUL15	239.0	DUL15	hba1c (change)	NA	plasma	NR	hba1c_change_DUL15	16.0	week	-1.50772626931567	NA	NA	NA	0.5065264026902861	0.12843671951291	NA	NA	percent	NA
Chen2018	DUL15	239.0	DUL15	hba1c (change)	NA	plasma	NR	hba1c_change_DUL15	26.0	week	-1.47902869757174	NA	NA	NA	0.5381840404958301	0.13646394795683	NA	NA	percent	NA
