study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	sd	se	cv	unit	comments
FDAGBCM	control	16.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	ng/ml	NA
FDAGBCM	control	16.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control	12.0	hr	45.1612975043362	NA	NA	NA	6.8821824828822	NA	NA	ng/ml	NA
FDAGBCM	control	16.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control	24.0	hr	63.9206012946873	NA	NA	NA	13.0793966155219	NA	NA	ng/ml	NA
FDAGBCM	control	16.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control	48.0	hr	75.7320094914961	NA	NA	NA	7.3549497863438	NA	NA	ng/ml	NA
FDAGBCM	control	16.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control	72.0	hr	71.215886102046	NA	NA	NA	16.4362907185324	NA	NA	ng/ml	NA
FDAGBCM	control	16.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control	96.0	hr	63.5731961784119	NA	NA	NA	15.8615890652373	NA	NA	ng/ml	NA
FDAGBCM	control	16.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control	168.0	hr	41.6873417563357	NA	NA	NA	9.7474379145381	NA	NA	ng/ml	NA
FDAGBCM	control	16.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control	336.0	hr	12.853607643176	NA	NA	NA	4.1898618950887	NA	NA	ng/ml	NA
FDAGBCM	mildR	8.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildR	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	ng/ml	NA
FDAGBCM	mildR	8.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildR	12.0	hr	45.0972264975856	NA	NA	NA	23.0766795193498	NA	NA	ng/ml	NA
FDAGBCM	mildR	8.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildR	24.0	hr	64.690296206014	NA	NA	NA	19.9183929647799	NA	NA	ng/ml	NA
FDAGBCM	mildR	8.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildR	48.0	hr	78.8639987641517	NA	NA	NA	22.7881738768443	NA	NA	ng/ml	NA
FDAGBCM	mildR	8.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildR	72.0	hr	82.198967021708	NA	NA	NA	16.1053747773013	NA	NA	ng/ml	NA
FDAGBCM	mildR	8.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildR	96.0	hr	75.112131645098	NA	NA	NA	11.0183013505881	NA	NA	ng/ml	NA
FDAGBCM	mildR	8.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildR	168.0	hr	51.350327761036	NA	NA	NA	8.30184348676711	NA	NA	ng/ml	NA
FDAGBCM	mildR	8.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildR	336.0	hr	18.4173532174649	NA	NA	NA	3.1913338635383	NA	NA	ng/ml	NA
FDAGBCM	modR	8.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modR	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	ng/ml	NA
FDAGBCM	modR	8.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modR	12.0	hr	51.350327761036	NA	NA	NA	31.1279312004594	NA	NA	ng/ml	NA
FDAGBCM	modR	8.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modR	24.0	hr	73.8614986704408	NA	NA	NA	30.8341476884022	NA	NA	ng/ml	NA
FDAGBCM	modR	8.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modR	48.0	hr	92.6208024607919	NA	NA	NA	30.0313708768011	NA	NA	ng/ml	NA
FDAGBCM	modR	8.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modR	72.0	hr	87.6183341719987	NA	NA	NA	23.4686167466773	NA	NA	ng/ml	NA
FDAGBCM	modR	8.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modR	96.0	hr	80.531466990471	NA	NA	NA	18.0772319326797	NA	NA	ng/ml	NA
FDAGBCM	modR	8.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modR	168.0	hr	48.8490936166394	NA	NA	NA	11.1074208233668	NA	NA	ng/ml	NA
FDAGBCM	modR	8.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modR	336.0	hr	18.0004543559674	NA	NA	NA	8.4778073919156	NA	NA	ng/ml	NA
FDAGBCM	sevR	8.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_sevR	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	ng/ml	NA
FDAGBCM	sevR	8.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_sevR	12.0	hr	35.0922899199992	NA	NA	NA	19.3859634687209	NA	NA	ng/ml	NA
