study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	median	se	min	max	sd	cv	unit	comments
FDAGBCN	all	43.0	DUL15	auc_end	dulaglutide	plasma	NR	336.0	hr	13200.0	NA	NA	NA	NA	NA	24.0	ng/ml*hr	geometric mean/abdomen
FDAGBCN	all	43.0	DUL15	auc_end	dulaglutide	plasma	NR	168.0	hr	9410.0	NA	NA	NA	NA	NA	26.0	ng/ml*hr	geometric mean/abdomen
FDAGBCN	all	43.0	DUL15	auc_inf	dulaglutide	plasma	NR	672.0	hr	15100.0	NA	NA	NA	NA	NA	24.0	ng/ml*hr	geometric mean/abdomen
FDAGBCN	all	43.0	DUL15	cmax	dulaglutide	plasma	NR	NA	NA	76.9	NA	NA	NA	NA	NA	30.0	ng/ml	geometric mean/abdomen
FDAGBCN	all	43.0	DUL15	tmax	dulaglutide	plasma	NR	NA	NA	NA	48.0	NA	24.0	72.0	NA	NA	hr	abdomen
FDAGBCN	all	43.0	DUL15	thalf	dulaglutide	plasma	NR	NA	NA	102.0	NA	NA	80.7	155.0	NA	NA	hr	geometric mean/abdomen
FDAGBCN	all	43.0	DUL15	clearance	dulaglutide	plasma	NR	NA	NA	0.0996	NA	NA	NA	NA	NA	24.0	l/hr	geometric mean/abdomen
FDAGBCN	all	43.0	DUL15	vd	dulaglutide	plasma	NR	NA	NA	14.6	NA	NA	NA	NA	NA	28.0	l	geometric mean/abdomen
FDAGBCN	all	40.0	DUL15	auc_end	dulaglutide	plasma	NR	336.0	hr	13000.0	NA	NA	NA	NA	NA	24.0	ng/ml*hr	geometric mean/arm
FDAGBCN	all	40.0	DUL15	auc_end	dulaglutide	plasma	NR	168.0	hr	9270.0	NA	NA	NA	NA	NA	24.0	ng/ml*hr	geometric mean/arm
FDAGBCN	all	40.0	DUL15	auc_inf	dulaglutide	plasma	NR	672.0	hr	14800.0	NA	NA	NA	NA	NA	25.0	ng/ml*hr	geometric mean/arm
FDAGBCN	all	40.0	DUL15	cmax	dulaglutide	plasma	NR	NA	NA	76.1	NA	NA	NA	NA	NA	25.0	ng/ml	geometric mean/arm
FDAGBCN	all	40.0	DUL15	tmax	dulaglutide	plasma	NR	NA	NA	NA	48.0	NA	12.0	72.0	NA	NA	hr	arm
FDAGBCN	all	40.0	DUL15	thalf	dulaglutide	plasma	NR	NA	NA	103.0	NA	NA	75.0	146.0	NA	NA	hr	geometric mean/arm
FDAGBCN	all	40.0	DUL15	clearance	dulaglutide	plasma	NR	NA	NA	0.101	NA	NA	NA	NA	NA	25.0	l/hr	geometric mean/arm
FDAGBCN	all	40.0	DUL15	vd	dulaglutide	plasma	NR	NA	NA	15.0	NA	NA	NA	NA	NA	26.0	l	geometric mean/arm
FDAGBCN	all	39.0	DUL15	auc_end	dulaglutide	plasma	NR	336.0	hr	12600.0	NA	NA	NA	NA	NA	21.0	ng/ml*hr	geometric mean/thigh
FDAGBCN	all	39.0	DUL15	auc_end	dulaglutide	plasma	NR	168.0	hr	8660.0	NA	NA	NA	NA	NA	24.0	ng/ml*hr	geometric mean/thigh
FDAGBCN	all	39.0	DUL15	auc_inf	dulaglutide	plasma	NR	672.0	hr	14600.0	NA	NA	NA	NA	NA	18.0	ng/ml*hr	geometric mean/thigh
FDAGBCN	all	39.0	DUL15	cmax	dulaglutide	plasma	NR	NA	NA	68.5	NA	NA	NA	NA	NA	27.0	ng/ml	geometric mean/thigh
FDAGBCN	all	39.0	DUL15	tmax	dulaglutide	plasma	NR	NA	NA	NA	48.0	NA	12.0	120.0	NA	NA	hr	thigh
FDAGBCN	all	39.0	DUL15	thalf	dulaglutide	plasma	NR	NA	NA	107.0	NA	NA	75.6	194.0	NA	NA	hr	geometric mean/thigh
FDAGBCN	all	39.0	DUL15	clearance	dulaglutide	plasma	NR	NA	NA	0.101	NA	NA	NA	NA	NA	20.0	l/hr	geometric mean/thigh
FDAGBCN	all	39.0	DUL15	vd	dulaglutide	plasma	NR	NA	NA	15.5	NA	NA	NA	NA	NA	25.0	l	geometric mean/thigh
