study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	sd	ci	se	cv	unit	comments
Umpierrez2014	MET	268.0	MET	weight (change)	NA	NA	NR	bodyweight_change_MET	0.0	week	0.0	NA	NA	NA	NA	NA	NA	NA	kg	NA
Umpierrez2014	MET	268.0	MET	weight (change)	NA	NA	NR	bodyweight_change_MET	2.0	week	-0.297912837605459	NA	NA	NA	1.4910720930377424	NA	0.09108172455080701	NA	kg	NA
Umpierrez2014	MET	268.0	MET	weight (change)	NA	NA	NR	bodyweight_change_MET	4.0	week	-0.531309336028232	NA	NA	NA	1.5842625435454312	NA	0.09677423732972606	NA	kg	NA
Umpierrez2014	MET	268.0	MET	weight (change)	NA	NA	NR	bodyweight_change_MET	13.0	week	-1.27134728937075	NA	NA	NA	2.7957561750844793	NA	0.17077798923289	NA	kg	NA
Umpierrez2014	MET	268.0	MET	weight (change)	NA	NA	NR	bodyweight_change_MET	26.0	week	-2.01707797264764	NA	NA	NA	3.5412939990973435	NA	0.21631896008602025	NA	kg	NA
Umpierrez2014	MET	268.0	MET	weight (change)	NA	NA	NR	bodyweight_change_MET	39.0	week	-2.01138545986872	NA	NA	NA	4.19363781761457	NA	0.2561672010047802	NA	kg	NA
Umpierrez2014	MET	268.0	MET	weight (change)	NA	NA	NR	bodyweight_change_MET	52.0	week	-2.10246696726408	NA	NA	NA	4.566403174632987	NA	0.27893746927589014	NA	kg	NA
Umpierrez2014	DUL075	270.0	DUL075	weight (change)	NA	NA	NR	bodyweight_change_DUL075	0.0	week	0.0	NA	NA	NA	NA	NA	NA	NA	kg	NA
Umpierrez2014	DUL075	270.0	DUL075	weight (change)	NA	NA	NR	bodyweight_change_DUL075	2.0	week	-0.434535098698506	NA	NA	NA	1.3095432574583736	NA	0.07969626468208296	NA	kg	NA
Umpierrez2014	DUL075	270.0	DUL075	weight (change)	NA	NA	NR	bodyweight_change_DUL075	4.0	week	-0.81024680530413	NA	NA	NA	1.777241610827558	NA	0.1081594800430079	NA	kg	NA
Umpierrez2014	DUL075	270.0	DUL075	weight (change)	NA	NA	NR	bodyweight_change_DUL075	13.0	week	-1.18026578197539	NA	NA	NA	2.7126311811098196	NA	0.16508547645396998	NA	kg	NA
Umpierrez2014	DUL075	270.0	DUL075	weight (change)	NA	NA	NR	bodyweight_change_DUL075	26.0	week	-0.98102479453702	NA	NA	NA	3.554483221655101	NA	0.21631896008601492	NA	kg	NA
Umpierrez2014	DUL075	270.0	DUL075	weight (change)	NA	NA	NR	bodyweight_change_DUL075	39.0	week	-0.685009569768922	NA	NA	NA	3.9286369088312005	NA	0.23908922835713503	NA	kg	NA
Umpierrez2014	DUL075	270.0	DUL075	weight (change)	NA	NA	NR	bodyweight_change_DUL075	52.0	week	-0.781783807098648	NA	NA	NA	4.39633169397233	NA	0.267552226562616	NA	kg	NA
Umpierrez2014	DUL15	269.0	DUL15	weight (change)	NA	NA	NR	bodyweight_change_DUL15	0.0	week	0.0	NA	NA	NA	NA	NA	NA	NA	kg	NA
Umpierrez2014	DUL15	269.0	DUL15	weight (change)	NA	NA	NR	bodyweight_change_DUL15	2.0	week	-0.787476319877567	NA	NA	NA	1.4938477921634994	NA	0.09108150739536403	NA	kg	NA
Umpierrez2014	DUL15	269.0	DUL15	weight (change)	NA	NA	NR	bodyweight_change_DUL15	4.0	week	-1.41366228039816	NA	NA	NA	1.5872155051825807	NA	0.09677423732973	NA	kg	NA
Umpierrez2014	DUL15	269.0	DUL15	weight (change)	NA	NA	NR	bodyweight_change_DUL15	13.0	week	-1.84060725348039	NA	NA	NA	2.70760313011217	NA	0.16508547645396998	NA	kg	NA
Umpierrez2014	DUL15	269.0	DUL15	weight (change)	NA	NA	NR	bodyweight_change_DUL15	26.0	week	-2.02277048542656	NA	NA	NA	3.734623042022939	NA	0.22770398564385985	NA	kg	NA
Umpierrez2014	DUL15	269.0	DUL15	weight (change)	NA	NA	NR	bodyweight_change_DUL15	39.0	week	-1.7950664997827	NA	NA	NA	4.294818635294587	NA	0.26185971378369	NA	kg	NA
Umpierrez2014	DUL15	269.0	DUL15	weight (change)	NA	NA	NR	bodyweight_change_DUL15	52.0	week	-1.68121450696078	NA	NA	NA	4.57491465112364	NA	0.2789374692758999	NA	kg	NA
