study	name	group_count	parent	measurement_type	count	substance	choice	mean	median	sd	se	min	max	unit	comments
Weinstock2015	all	1098.0	NA	species	1098.0	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
Weinstock2015	all	1098.0	NA	sex	526.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Weinstock2015	all	1098.0	NA	sex	577.0	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Weinstock2015	all	1098.0	NA	ethnicity	1.0	NA	aboriginal	NA	NA	NA	NA	NA	NA	NA	NA
Weinstock2015	all	1098.0	NA	ethnicity	44.0	NA	black	NA	NA	NA	NA	NA	NA	NA	NA
Weinstock2015	all	1098.0	NA	ethnicity	568.0	NA	caucasian	NA	NA	NA	NA	NA	NA	NA	NA
Weinstock2015	all	1098.0	NA	ethnicity	177.0	NA	asian	NA	NA	NA	NA	NA	NA	NA	NA
Weinstock2015	all	1098.0	NA	ethnicity	210.0	NA	hispanic	NA	NA	NA	NA	NA	NA	NA	NA
Weinstock2015	all	1098.0	NA	ethnicity	1.0	NA	american indian	NA	NA	NA	NA	NA	NA	NA	NA
Weinstock2015	all	1098.0	NA	ethnicity	96.0	NA	west asian	NA	NA	NA	NA	NA	NA	NA	NA
Weinstock2015	all	1098.0	NA	healthy	1098.0	NA	N	NA	NA	NA	NA	NA	NA	NA	NA
Weinstock2015	all	1098.0	NA	disease	1098.0	NA	t2dm	NA	NA	NA	NA	NA	NA	NA	NA
Weinstock2015	all	1098.0	NA	medication	1035.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	OAM
Weinstock2015	all	1098.0	NA	medication	63.0	NA	N	NA	NA	NA	NA	NA	NA	NA	NA
Weinstock2015	PLAC	177.0	all	sex	90.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Weinstock2015	PLAC	177.0	all	sex	87.0	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Weinstock2015	PLAC	177.0	all	age	177.0	NA	NA	55.0	NA	9.0	NA	NA	NA	yr	NA
Weinstock2015	PLAC	177.0	all	ethnicity	9.0	NA	black	NA	NA	NA	NA	NA	NA	NA	NA
Weinstock2015	PLAC	177.0	all	ethnicity	91.0	NA	caucasian	NA	NA	NA	NA	NA	NA	NA	NA
Weinstock2015	PLAC	177.0	all	ethnicity	28.0	NA	asian	NA	NA	NA	NA	NA	NA	NA	NA
Weinstock2015	PLAC	177.0	all	ethnicity	38.0	NA	hispanic	NA	NA	NA	NA	NA	NA	NA	NA
Weinstock2015	PLAC	177.0	all	ethnicity	11.0	NA	west asian	NA	NA	NA	NA	NA	NA	NA	NA
Weinstock2015	PLAC	177.0	all	bmi	177.0	NA	NA	31.0	NA	4.0	NA	NA	NA	kg/m^2	NA
Weinstock2015	PLAC	177.0	all	weight	177.0	NA	NA	87.0	NA	17.0	NA	NA	NA	kg	NA
Weinstock2015	PLAC	177.0	all	hba1c	177.0	NA	NA	8.1	NA	1.1	NA	NA	NA	percent	NA
Weinstock2015	PLAC	177.0	all	medication	167.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	OAM
Weinstock2015	PLAC	177.0	all	medication	10.0	NA	N	NA	NA	NA	NA	NA	NA	NA	NA
Weinstock2015	PLAC	177.0	all	blood pressure systolic	177.0	NA	NA	128.0	NA	13.0	NA	NA	NA	mmHg	NA
Weinstock2015	PLAC	177.0	all	blood pressure diastolic	177.0	NA	NA	78.0	NA	8.0	NA	NA	NA	mmHg	NA
Weinstock2015	SITA	315.0	all	sex	151.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Weinstock2015	SITA	315.0	all	sex	164.0	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Weinstock2015	SITA	315.0	all	age	315.0	NA	NA	54.0	NA	10.0	NA	NA	NA	yr	NA
Weinstock2015	SITA	315.0	all	ethnicity	1.0	NA	aboriginal	NA	NA	NA	NA	NA	NA	NA	NA
Weinstock2015	SITA	315.0	all	ethnicity	7.0	NA	black	NA	NA	NA	NA	NA	NA	NA	NA
Weinstock2015	SITA	315.0	all	ethnicity	158.0	NA	caucasian	NA	NA	NA	NA	NA	NA	NA	NA
Weinstock2015	SITA	315.0	all	ethnicity	52.0	NA	asian	NA	NA	NA	NA	NA	NA	NA	NA
Weinstock2015	SITA	315.0	all	ethnicity	67.0	NA	hispanic	NA	NA	NA	NA	NA	NA	NA	NA
Weinstock2015	SITA	315.0	all	ethnicity	1.0	NA	american indian	NA	NA	NA	NA	NA	NA	NA	NA
Weinstock2015	SITA	315.0	all	ethnicity	28.0	NA	west asian	NA	NA	NA	NA	NA	NA	NA	NA
Weinstock2015	SITA	315.0	all	bmi	315.0	NA	NA	31.0	NA	4.0	NA	NA	NA	kg/m^2	NA
